deposit,age,job,education,default,housing,loan,contact,month,duration,campaign,pdays,poutcome
yes,42,admin,secondary,no,yes,yes,telephone,oct,519,1,166,other
yes,33,services,secondary,no,yes,no,telephone,oct,144,1,91,failure
yes,36,management,tertiary,no,yes,no,telephone,oct,140,1,143,failure
yes,56,technician,secondary,no,yes,no,unknown,oct,518,1,147,success
no,44,bluecollar,secondary,no,yes,no,telephone,oct,119,1,89,other
no,33,unemployed,secondary,no,yes,no,telephone,nov,175,1,174,failure
no,30,management,tertiary,no,yes,no,telephone,nov,86,1,174,failure
no,51,technician,secondary,no,yes,no,cellular,nov,79,1,129,failure
no,44,management,tertiary,no,yes,yes,cellular,nov,58,1,188,failure
no,38,management,tertiary,no,no,no,cellular,nov,146,1,104,other
no,48,admin,secondary,no,yes,no,cellular,nov,123,1,164,success
no,39,bluecollar,primary,no,no,no,cellular,nov,96,1,131,failure
no,37,management,tertiary,yes,no,no,cellular,nov,44,1,123,failure
no,49,management,tertiary,no,no,no,cellular,nov,208,1,159,success
no,42,technician,tertiary,no,yes,yes,cellular,nov,38,1,115,other
no,56,retired,secondary,no,yes,yes,cellular,nov,38,1,172,failure
no,45,technician,secondary,no,yes,no,cellular,nov,483,1,116,failure
no,36,management,tertiary,no,yes,no,cellular,nov,70,1,166,failure
no,59,management,tertiary,no,no,no,cellular,nov,90,2,110,failure
no,53,services,secondary,no,no,no,cellular,nov,508,1,115,failure
no,34,admin,secondary,no,yes,no,cellular,nov,214,1,174,failure
no,59,retired,secondary,no,yes,no,cellular,nov,573,1,188,other
no,59,management,primary,no,yes,yes,cellular,nov,138,1,175,failure
no,40,technician,secondary,no,yes,no,cellular,nov,74,2,196,failure
no,45,management,secondary,no,no,no,unknown,nov,147,1,110,failure
no,43,technician,secondary,no,yes,no,cellular,nov,190,1,104,failure
no,55,entrepreneur,tertiary,no,no,no,cellular,nov,89,2,118,failure
no,56,admin,secondary,no,yes,no,cellular,nov,80,2,165,other
no,42,services,secondary,no,yes,no,cellular,nov,71,1,186,failure
no,45,technician,secondary,no,yes,no,cellular,nov,62,1,131,failure
no,35,entrepreneur,secondary,no,yes,no,cellular,nov,128,1,181,failure
no,38,management,tertiary,no,yes,no,cellular,nov,240,1,181,failure
no,54,technician,secondary,no,no,yes,cellular,nov,61,1,145,other
no,50,management,tertiary,no,no,no,cellular,nov,71,1,138,failure
no,51,management,tertiary,no,yes,yes,cellular,nov,139,2,126,failure
no,51,technician,secondary,no,yes,no,cellular,nov,150,1,188,failure
no,58,unknown,secondary,no,yes,no,cellular,nov,111,1,188,failure
no,41,unemployed,primary,no,yes,no,cellular,nov,158,1,173,failure
no,53,selfemployed,secondary,no,no,yes,cellular,nov,99,1,126,failure
no,37,services,secondary,yes,yes,no,cellular,nov,69,1,180,failure
no,44,services,secondary,no,yes,no,cellular,nov,70,1,150,other
no,56,management,primary,no,no,yes,telephone,nov,124,1,129,other
no,38,technician,secondary,no,yes,yes,cellular,nov,224,2,180,failure
no,34,management,tertiary,no,yes,no,cellular,nov,101,2,129,failure
no,38,bluecollar,primary,no,yes,no,cellular,nov,78,2,193,failure
no,57,technician,secondary,no,no,no,unknown,nov,204,2,109,other
no,42,unemployed,primary,no,no,no,cellular,nov,178,2,151,failure
no,38,admin,secondary,no,no,no,telephone,nov,599,2,158,other
no,30,technician,secondary,no,yes,no,telephone,nov,127,4,111,failure
no,56,management,secondary,no,yes,no,telephone,nov,117,3,131,failure
no,43,services,secondary,no,yes,no,cellular,nov,57,4,119,failure
no,43,management,tertiary,no,yes,no,cellular,nov,374,1,186,failure
no,56,management,tertiary,no,yes,yes,cellular,nov,176,3,186,failure
no,37,management,secondary,no,no,yes,cellular,nov,211,2,151,failure
yes,45,entrepreneur,secondary,no,no,yes,cellular,nov,652,2,126,failure
no,50,technician,secondary,no,yes,no,cellular,nov,114,4,168,failure
no,46,admin,secondary,no,yes,no,cellular,nov,64,3,150,other
